url, QDM, FHIR
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.170, v20240118, v20240118
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.134, v20250211, v20250211
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.24, v20221006, v20221006
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.164, v20240120, v20240120
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.120, v20250206, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1147.171, v20210605, v20210605
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1147.122, vGROUPED, v20210605
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1147.119, vGROUPED, v20240112
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1147.120, v20240112, v20240112
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.205, v20240112, v20240112
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.176, v20240112, v20240112
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.67, v20230217, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.70, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.71, vGROUPED, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.271, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.270, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.63, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.255, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.237, v20240210, v20240210
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.227, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.243, v20250207, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.221, v20220127, v20220127
